epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,1655.07,0.77776,1.28833,0.35923,1.04153,0,0.97762,0.979,0.98805,0.74878,0.96599,0.96712,0.97362,0.63274,0.98883,1.76516,0.43257,1.19191,0,0.00096337,0.00096337,0.00096337
39,1696.71,0.78112,1.29288,0.3622,1.04603,0,0.97904,0.9814,0.98912,0.7412,0.96688,0.96833,0.97351,0.61585,1.00741,1.81251,0.43478,1.19373,0,0.00096238,0.00096238,0.00096238
40,1738.26,0.7554,1.25967,0.35363,1.02458,0,0.97811,0.97885,0.98731,0.75558,0.9672,0.96783,0.97319,0.63981,0.97643,1.75752,0.42522,1.19151,0,0.00096139,0.00096139,0.00096139
41,1779.78,0.75824,1.26049,0.35065,1.02561,0,0.9805,0.98422,0.98874,0.76681,0.97191,0.97493,0.97721,0.65107,0.94819,1.69721,0.41019,1.17217,0,0.0009604,0.0009604,0.0009604
42,1822.01,0.74649,1.25334,0.34671,1.02381,0,0.97484,0.97425,0.98668,0.7081,0.9627,0.96091,0.97229,0.59011,1.11215,1.92059,0.4656,1.27117,0,0.00095941,0.00095941,0.00095941
43,1866.24,0.75009,1.24274,0.34519,1.02558,0,0.97917,0.9821,0.98864,0.76151,0.96874,0.97126,0.97385,0.64446,0.95392,1.70084,0.41895,1.17713,0,0.00095842,0.00095842,0.00095842
44,1907.81,0.73495,1.22641,0.34335,1.01747,0,0.98115,0.98196,0.98864,0.75064,0.97249,0.97303,0.9784,0.63022,0.98435,1.72881,0.42211,1.19152,0,0.00095743,0.00095743,0.00095743
45,1949.19,0.73686,1.24621,0.34319,1.01518,0,0.97932,0.98395,0.98939,0.76876,0.96714,0.97121,0.97426,0.65198,0.93996,1.7088,0.41135,1.17463,0,0.00095644,0.00095644,0.00095644
46,1991.42,0.71426,1.19167,0.33838,0.99689,0,0.98059,0.98105,0.98808,0.76658,0.96966,0.97001,0.97527,0.65203,0.93958,1.70157,0.41662,1.17626,0,0.00095545,0.00095545,0.00095545
47,2033.17,0.70352,1.17732,0.3363,0.99377,0,0.98179,0.98213,0.9891,0.76751,0.97142,0.97129,0.97633,0.64839,0.9378,1.7258,0.41258,1.17372,0,0.00095446,0.00095446,0.00095446
48,2075.02,0.69628,1.17088,0.33084,0.98964,0,0.97967,0.98538,0.98977,0.77274,0.97306,0.97699,0.97877,0.66113,0.91539,1.64526,0.40181,1.16231,0,0.00095347,0.00095347,0.00095347
49,2117.42,0.69707,1.18712,0.32997,0.98983,0,0.98055,0.98502,0.98954,0.77022,0.97113,0.97538,0.97786,0.64915,0.92964,1.67816,0.40775,1.16674,0,0.00095248,0.00095248,0.00095248
50,2159.15,0.69679,1.18548,0.33055,0.99049,0,0.98067,0.98544,0.98922,0.76769,0.97038,0.97378,0.97605,0.64544,0.93089,1.70943,0.41034,1.17966,0,0.00095149,0.00095149,0.00095149
51,2200.97,0.7149,1.20477,0.33644,0.99368,0,0.98035,0.98398,0.98845,0.77434,0.97196,0.97585,0.97801,0.66372,0.92087,1.65413,0.40331,1.16773,0,0.0009505,0.0009505,0.0009505
52,2243.45,0.68094,1.14695,0.32646,0.9767,0,0.98078,0.98596,0.98922,0.7758,0.97218,0.97692,0.97861,0.66453,0.91193,1.66971,0.3969,1.15894,0,0.00094951,0.00094951,0.00094951
53,2286.07,0.66744,1.13519,0.32147,0.96841,0,0.98083,0.98395,0.9881,0.7768,0.9728,0.9749,0.97687,0.66023,0.90546,1.63991,0.39793,1.16523,0,0.00094852,0.00094852,0.00094852
54,2328.4,0.67086,1.13893,0.31994,0.97844,0,0.9803,0.98525,0.98883,0.77727,0.97231,0.97603,0.9786,0.66469,0.89838,1.63416,0.40243,1.16038,0,0.00094753,0.00094753,0.00094753
55,2370.81,0.6791,1.14649,0.32459,0.97872,0,0.981,0.98404,0.98858,0.77269,0.97256,0.97494,0.97808,0.65246,0.91377,1.67903,0.40355,1.16818,0,0.00094654,0.00094654,0.00094654
56,2412.87,0.66386,1.10949,0.31862,0.96628,0,0.98288,0.98582,0.98885,0.78104,0.97565,0.97784,0.97962,0.67113,0.89395,1.65576,0.392,1.15922,0,0.00094555,0.00094555,0.00094555
57,2459.27,0.65522,1.11782,0.31516,0.964,0,0.98178,0.98597,0.98853,0.78169,0.97459,0.97867,0.97957,0.67057,0.88507,1.63,0.38853,1.1525,0,0.00094456,0.00094456,0.00094456
58,2501.53,0.64671,1.10869,0.31618,0.95707,0,0.98106,0.98438,0.98896,0.78452,0.97327,0.97587,0.97876,0.67552,0.88438,1.60887,0.39304,1.15312,0,0.00094357,0.00094357,0.00094357
59,2543.94,0.63917,1.10963,0.31124,0.95367,0,0.98341,0.98546,0.98991,0.78834,0.97541,0.97728,0.98021,0.67492,0.87123,1.61383,0.38779,1.14769,0,0.00094258,0.00094258,0.00094258
60,2586.32,0.64717,1.11446,0.31488,0.96158,0,0.98097,0.98642,0.98914,0.78206,0.9726,0.97773,0.97766,0.6698,0.88168,1.62588,0.39512,1.15932,0,0.00094159,0.00094159,0.00094159
61,2632.15,0.63863,1.09814,0.3142,0.951,0,0.98012,0.9853,0.98879,0.78249,0.9714,0.97649,0.97718,0.67165,0.88746,1.64571,0.39814,1.1641,0,0.0009406,0.0009406,0.0009406
62,2673.77,0.62469,1.07126,0.30655,0.94272,0,0.98284,0.98622,0.989,0.78833,0.97602,0.97904,0.97924,0.68056,0.86767,1.62323,0.38763,1.15634,0,0.00093961,0.00093961,0.00093961
63,2717.25,0.63001,1.0858,0.31037,0.94937,0,0.98159,0.98645,0.98892,0.78285,0.97491,0.97933,0.97833,0.67679,0.87355,1.62485,0.38871,1.16082,0,0.00093862,0.00093862,0.00093862
64,2759.9,0.62513,1.06795,0.30667,0.94783,0,0.98396,0.98631,0.98996,0.79208,0.97678,0.97848,0.98106,0.68393,0.85945,1.60428,0.37996,1.15803,0,0.00093763,0.00093763,0.00093763
65,2802.41,0.61613,1.05951,0.30351,0.93873,0,0.98206,0.98469,0.98821,0.7874,0.97369,0.97613,0.97751,0.6763,0.87073,1.63781,0.38891,1.15773,0,0.00093664,0.00093664,0.00093664
66,2844.56,0.61181,1.05377,0.3019,0.9352,0,0.98139,0.98566,0.98909,0.78852,0.97334,0.97667,0.97876,0.67999,0.86912,1.64907,0.38432,1.15684,0,0.00093565,0.00093565,0.00093565
67,2886.48,0.62165,1.06708,0.30319,0.94693,0,0.9838,0.98645,0.98953,0.78258,0.97712,0.97937,0.98048,0.66775,0.87452,1.64986,0.38876,1.15785,0,0.00093466,0.00093466,0.00093466
68,2928.21,0.59606,1.02967,0.29443,0.92384,0,0.98509,0.98616,0.98964,0.79386,0.97761,0.97901,0.98069,0.68186,0.85501,1.60814,0.3768,1.15575,0,0.00093367,0.00093367,0.00093367
69,2969.85,0.58417,1.01266,0.29086,0.91739,0,0.98271,0.98761,0.98953,0.79695,0.9767,0.98146,0.9822,0.69179,0.84661,1.61644,0.37535,1.1584,0,0.00093268,0.00093268,0.00093268
70,3012.35,0.58858,1.01172,0.29257,0.92043,0,0.98431,0.98806,0.98983,0.79481,0.97775,0.98129,0.98101,0.68276,0.84843,1.60448,0.37739,1.15275,0,0.00093169,0.00093169,0.00093169
71,3054.08,0.58665,1.00369,0.2916,0.92086,0,0.98396,0.98715,0.98994,0.79537,0.97708,0.97959,0.98164,0.68302,0.84698,1.61214,0.37692,1.15546,0,0.0009307,0.0009307,0.0009307
72,3095.74,0.57699,0.99965,0.28938,0.91798,0,0.98426,0.98787,0.98973,0.79609,0.97842,0.98203,0.98234,0.68721,0.84198,1.6083,0.37495,1.14846,0,0.00092971,0.00092971,0.00092971
73,3137.38,0.58461,1.01605,0.29214,0.92569,0,0.98423,0.98639,0.9891,0.7964,0.97734,0.97879,0.98063,0.68483,0.84927,1.64427,0.37613,1.16255,0,0.00092872,0.00092872,0.00092872
74,3178.94,0.58143,1.01268,0.29147,0.91503,0,0.98422,0.98747,0.98907,0.79566,0.97678,0.97997,0.98067,0.69022,0.84176,1.6312,0.37764,1.15023,0,0.00092773,0.00092773,0.00092773
75,3220.64,0.57984,0.9905,0.2914,0.91167,0,0.98453,0.98775,0.99025,0.8012,0.97695,0.98003,0.9801,0.68723,0.83164,1.61273,0.37062,1.1486,0,0.00092674,0.00092674,0.00092674
76,3262.04,0.5677,0.99085,0.28711,0.90863,0,0.98514,0.98718,0.98931,0.80022,0.9782,0.98009,0.98094,0.69395,0.83114,1.62945,0.36803,1.15357,0,0.00092575,0.00092575,0.00092575
77,3304.43,0.56551,0.98149,0.28787,0.90809,0,0.98468,0.98806,0.99013,0.80354,0.97825,0.98146,0.98207,0.69337,0.82593,1.62556,0.36643,1.14878,0,0.00092476,0.00092476,0.00092476
78,3346.49,0.55169,0.95933,0.28113,0.89902,0,0.9852,0.98741,0.99009,0.80125,0.97823,0.98057,0.98153,0.69339,0.82533,1.59747,0.36902,1.14843,0,0.00092377,0.00092377,0.00092377
79,3388.47,0.56902,0.98775,0.28875,0.91044,0,0.98375,0.98783,0.9897,0.79975,0.97698,0.98049,0.9809,0.69117,0.82987,1.60745,0.37019,1.14716,0,0.00092278,0.00092278,0.00092278
80,3430.08,0.5548,0.96202,0.28227,0.89958,0,0.98475,0.98776,0.98961,0.80041,0.97907,0.98173,0.98259,0.6906,0.83167,1.63086,0.36963,1.15802,0,0.00092179,0.00092179,0.00092179
81,3471.63,0.56062,0.96793,0.28559,0.90099,0,0.98365,0.98746,0.98921,0.80248,0.97816,0.98173,0.98237,0.69169,0.81966,1.61605,0.37091,1.15214,0,0.0009208,0.0009208,0.0009208
82,3513.25,0.55574,0.95922,0.28292,0.90913,0,0.98572,0.98701,0.98973,0.80518,0.97938,0.98047,0.98202,0.69674,0.81899,1.61067,0.3655,1.15126,0,0.00091981,0.00091981,0.00091981
83,3555.38,0.55406,0.95855,0.28107,0.90028,0,0.98347,0.9866,0.98914,0.8016,0.9775,0.97926,0.98073,0.69729,0.82449,1.64004,0.3668,1.15747,0,0.00091882,0.00091882,0.00091882
84,3597.08,0.54911,0.95748,0.28236,0.90081,0,0.98492,0.98602,0.98922,0.80272,0.97914,0.97964,0.98087,0.69225,0.81433,1.60088,0.3665,1.1523,0,0.00091783,0.00091783,0.00091783
85,3641.34,0.55394,0.97659,0.28284,0.90402,0,0.98427,0.98686,0.989,0.8035,0.97812,0.98049,0.98137,0.69754,0.82206,1.61956,0.3671,1.1595,0,0.00091684,0.00091684,0.00091684
86,3683.05,0.55392,0.94634,0.28328,0.90665,0,0.98422,0.98692,0.98955,0.80537,0.9767,0.97923,0.97987,0.69587,0.81223,1.60458,0.36498,1.14924,0,0.00091585,0.00091585,0.00091585
87,3724.66,0.53502,0.93048,0.27571,0.89228,0,0.98433,0.98729,0.98973,0.80627,0.97805,0.97994,0.98121,0.69373,0.80912,1.64451,0.36242,1.15991,0,0.00091486,0.00091486,0.00091486
88,3766.16,0.5369,0.942,0.27942,0.89312,0,0.9849,0.98605,0.98876,0.80502,0.97978,0.98102,0.98213,0.69611,0.80392,1.64426,0.36447,1.15216,0,0.00091387,0.00091387,0.00091387
89,3807.79,0.5451,0.95075,0.28078,0.89319,0,0.98331,0.98593,0.98949,0.80047,0.9771,0.9794,0.98075,0.69796,0.82924,1.63014,0.36629,1.15941,0,0.00091288,0.00091288,0.00091288
90,3849.45,0.52984,0.93493,0.27371,0.88993,0,0.98397,0.98609,0.98943,0.80675,0.97858,0.9802,0.98207,0.69385,0.8033,1.61393,0.36138,1.15932,0,0.00091189,0.00091189,0.00091189
91,3891.11,0.5324,0.93469,0.27438,0.89558,0,0.98569,0.98714,0.98981,0.8071,0.97899,0.97998,0.98016,0.69771,0.80493,1.62745,0.36208,1.15542,0,0.0009109,0.0009109,0.0009109
