epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,2731.55,0.2386,0.45262,0.15824,0.78081,0,0.98571,0.98903,0.99002,0.85799,0.9784,0.98161,0.98262,0.75104,0.61827,1.96482,0.28356,1.20095,0,0.000803839,0.000803839,0.000803839
66,2772.99,0.23375,0.44759,0.15584,0.7801,0,0.98594,0.98887,0.99006,0.85875,0.97863,0.98145,0.9822,0.7532,0.61513,1.97973,0.28485,1.20414,0,0.000800774,0.000800774,0.000800774
67,2814.65,0.22998,0.44009,0.15471,0.77929,0,0.98693,0.98898,0.99019,0.85975,0.97843,0.98047,0.9812,0.75222,0.60985,1.99133,0.28059,1.20591,0,0.000797709,0.000797709,0.000797709
68,2856.08,0.22734,0.43871,0.15308,0.77736,0,0.98609,0.98876,0.99022,0.85869,0.9788,0.98119,0.98267,0.7499,0.61564,1.98433,0.28103,1.20812,0,0.000794644,0.000794644,0.000794644
69,2897.5,0.23728,0.45082,0.15696,0.77922,0,0.985,0.98925,0.98999,0.85772,0.97757,0.9817,0.98233,0.74938,0.62013,2.00131,0.28369,1.204,0,0.000791579,0.000791579,0.000791579
70,2940.68,0.23256,0.44956,0.15507,0.78048,0,0.9856,0.98888,0.98974,0.8582,0.97871,0.98194,0.98267,0.75047,0.61645,1.99195,0.28211,1.20877,0,0.000788514,0.000788514,0.000788514
71,2982.46,0.23614,0.45076,0.15607,0.78157,0,0.98539,0.98867,0.98973,0.85907,0.97771,0.9806,0.98132,0.75165,0.61955,1.94079,0.28457,1.19873,0,0.000785449,0.000785449,0.000785449
72,3024.02,0.23746,0.46699,0.15769,0.78303,0,0.98554,0.98857,0.99005,0.85859,0.97829,0.98119,0.98273,0.75185,0.61785,1.9206,0.28438,1.19528,0,0.000782384,0.000782384,0.000782384
73,3065.61,0.23474,0.45169,0.15564,0.78002,0,0.98497,0.98903,0.98974,0.86011,0.97758,0.98016,0.98146,0.75317,0.61376,1.9579,0.28076,1.20474,0,0.000779319,0.000779319,0.000779319
74,3107.11,0.23152,0.44584,0.1559,0.77939,0,0.98477,0.98865,0.98981,0.85929,0.97803,0.97998,0.98208,0.75158,0.61499,1.97305,0.28428,1.20618,0,0.000776254,0.000776254,0.000776254
75,3148.66,0.22617,0.43957,0.1533,0.7773,0,0.98654,0.98815,0.98982,0.85935,0.97929,0.98115,0.98331,0.75325,0.61075,2.02144,0.28236,1.2056,0,0.000773189,0.000773189,0.000773189
76,3189.98,0.23594,0.47961,0.15696,0.78562,0,0.98623,0.98866,0.99026,0.85981,0.97904,0.98152,0.98278,0.75191,0.60741,1.97709,0.2815,1.20396,0,0.000770124,0.000770124,0.000770124
77,3231.44,0.23307,0.45192,0.15518,0.78013,0,0.98677,0.9887,0.98975,0.85843,0.97952,0.98146,0.9827,0.75141,0.61082,1.96658,0.28192,1.20823,0,0.000767059,0.000767059,0.000767059
78,3272.99,0.22677,0.43379,0.1531,0.77631,0,0.9857,0.98863,0.98983,0.85915,0.97846,0.98007,0.9813,0.75217,0.60841,1.98673,0.27991,1.20797,0,0.000763994,0.000763994,0.000763994
79,3314.58,0.23372,0.45655,0.15565,0.78195,0,0.98471,0.98817,0.98992,0.85702,0.97776,0.98043,0.98281,0.74957,0.62594,2.0625,0.28693,1.21484,0,0.000760929,0.000760929,0.000760929
80,3356,0.2249,0.43734,0.15208,0.77717,0,0.98531,0.98842,0.99011,0.86055,0.97814,0.981,0.98284,0.75273,0.60866,1.98547,0.28198,1.20108,0,0.000757864,0.000757864,0.000757864
81,3397.48,0.22626,0.44113,0.15254,0.77741,0,0.98613,0.98847,0.98983,0.85884,0.97934,0.98131,0.98312,0.75189,0.60924,2.00753,0.28153,1.21115,0,0.000754799,0.000754799,0.000754799
82,3438.86,0.22996,0.44358,0.15492,0.77844,0,0.98718,0.98788,0.98967,0.859,0.97982,0.98061,0.98237,0.75191,0.60715,1.96455,0.28034,1.20638,0,0.000751734,0.000751734,0.000751734
83,3480.3,0.23633,0.45336,0.156,0.7818,0,0.98582,0.98814,0.98994,0.85784,0.97885,0.98121,0.9834,0.75002,0.61903,1.96927,0.28506,1.20166,0,0.000748669,0.000748669,0.000748669
84,3521.66,0.22471,0.43471,0.15241,0.77824,0,0.98612,0.98874,0.99022,0.85937,0.97836,0.98053,0.98273,0.75296,0.61071,2.01188,0.28315,1.20625,0,0.000745604,0.000745604,0.000745604
85,3563.02,0.23107,0.44517,0.15492,0.77868,0,0.98519,0.98761,0.98984,0.85908,0.97797,0.9803,0.98264,0.7521,0.61116,2.00167,0.283,1.20594,0,0.000742539,0.000742539,0.000742539
86,3604.53,0.23796,0.44961,0.15789,0.78091,0,0.98602,0.98833,0.99004,0.85836,0.97779,0.98005,0.98198,0.7534,0.61465,1.97408,0.281,1.20651,0,0.000739474,0.000739474,0.000739474
87,3646.07,0.22645,0.43384,0.15415,0.77667,0,0.98395,0.98915,0.98994,0.85921,0.97625,0.98125,0.98239,0.75065,0.60951,2.03662,0.28337,1.20848,0,0.000736409,0.000736409,0.000736409
88,3687.5,0.22349,0.43372,0.15294,0.77686,0,0.98485,0.98868,0.99002,0.85921,0.97943,0.98002,0.98306,0.75334,0.60833,2.02473,0.2818,1.20525,0,0.000733344,0.000733344,0.000733344
89,3728.84,0.22568,0.43502,0.15288,0.7768,0,0.98588,0.98775,0.9902,0.86058,0.9793,0.98073,0.98331,0.75701,0.60822,2.03501,0.28079,1.21072,0,0.000730279,0.000730279,0.000730279
90,3771.47,0.22509,0.44001,0.15204,0.77978,0,0.98663,0.98801,0.99026,0.86156,0.97891,0.98008,0.98288,0.75613,0.60502,2.04861,0.28152,1.21027,0,0.000727214,0.000727214,0.000727214
91,3813.84,0.22313,0.42991,0.15064,0.77785,0,0.98598,0.98829,0.98989,0.86153,0.97797,0.97979,0.98206,0.75555,0.60821,2.04829,0.27931,1.21158,0,0.000724149,0.000724149,0.000724149
92,3855.34,0.22288,0.43167,0.15135,0.77486,0,0.98574,0.98795,0.99015,0.85886,0.97746,0.97957,0.98198,0.75153,0.61296,2.0612,0.28383,1.2182,0,0.000721084,0.000721084,0.000721084
93,3896.95,0.22764,0.43465,0.15241,0.77882,0,0.98625,0.98772,0.98988,0.85929,0.97768,0.979,0.98111,0.75255,0.61383,2.01674,0.28284,1.209,0,0.000718019,0.000718019,0.000718019
94,3938.43,0.22234,0.42873,0.15091,0.77731,0,0.98634,0.9877,0.99025,0.85975,0.97871,0.97938,0.98249,0.75265,0.60503,2.03707,0.27844,1.21466,0,0.000714954,0.000714954,0.000714954
95,3980.15,0.2175,0.42291,0.14936,0.77465,0,0.98594,0.98798,0.98992,0.85988,0.97775,0.97963,0.9815,0.7534,0.6022,2.03079,0.27936,1.21328,0,0.000711889,0.000711889,0.000711889
96,4021.71,0.22605,0.44426,0.15293,0.77883,0,0.98604,0.98797,0.9898,0.85895,0.97973,0.98168,0.98337,0.75308,0.60675,2.06727,0.27931,1.21346,0,0.000708824,0.000708824,0.000708824
97,4063.17,0.2178,0.42671,0.14903,0.77632,0,0.98676,0.98903,0.99031,0.85968,0.97972,0.98192,0.98265,0.75448,0.60501,2.00839,0.27853,1.21699,0,0.000705759,0.000705759,0.000705759
98,4104.73,0.22241,0.43231,0.15164,0.77568,0,0.98608,0.98799,0.98981,0.85951,0.97832,0.98019,0.98204,0.75206,0.61041,2.03094,0.27919,1.21887,0,0.000702693,0.000702693,0.000702693
99,4146.07,0.22042,0.42732,0.14976,0.77636,0,0.98605,0.98889,0.9901,0.86081,0.97945,0.98229,0.98302,0.75457,0.60508,2.02681,0.27986,1.21518,0,0.000699628,0.000699628,0.000699628
100,4187.55,0.22214,0.43075,0.15025,0.77634,0,0.98609,0.98783,0.98978,0.86137,0.97852,0.98021,0.98236,0.75356,0.60548,2.01773,0.28107,1.21648,0,0.000696563,0.000696563,0.000696563
101,4228.91,0.22046,0.42907,0.15096,0.77687,0,0.98578,0.98819,0.99006,0.86108,0.97864,0.98081,0.98283,0.75323,0.61052,2.06592,0.2819,1.2142,0,0.000693498,0.000693498,0.000693498
102,4270.3,0.21969,0.42019,0.1507,0.77443,0,0.98602,0.98885,0.98996,0.8602,0.97818,0.98039,0.98129,0.75199,0.60782,2.07156,0.28212,1.21784,0,0.000690433,0.000690433,0.000690433
103,4311.85,0.21687,0.42328,0.14774,0.77432,0,0.98615,0.98771,0.98994,0.86034,0.97871,0.98026,0.98195,0.75366,0.60217,2.0709,0.27995,1.22091,0,0.000687368,0.000687368,0.000687368
104,4353.23,0.21321,0.41696,0.14786,0.77426,0,0.98564,0.9886,0.99016,0.86136,0.97815,0.98004,0.98188,0.75487,0.60079,2.07102,0.27936,1.21851,0,0.000684303,0.000684303,0.000684303
105,4394.68,0.22431,0.43322,0.15185,0.77921,0,0.98603,0.98803,0.99013,0.86127,0.97871,0.98133,0.9825,0.75225,0.60691,2.02865,0.27901,1.21122,0,0.000681238,0.000681238,0.000681238
106,4436.17,0.21823,0.4269,0.14911,0.77691,0,0.98598,0.98838,0.99033,0.86251,0.97851,0.98086,0.98298,0.75805,0.59941,1.9907,0.27858,1.20798,0,0.000678173,0.000678173,0.000678173
107,4478.4,0.21861,0.42359,0.14945,0.7758,0,0.98556,0.98809,0.99012,0.85966,0.97815,0.98051,0.98227,0.75392,0.60511,2.03017,0.2813,1.2147,0,0.000675108,0.000675108,0.000675108
108,4519.83,0.21677,0.42446,0.14864,0.77575,0,0.98678,0.9885,0.99011,0.8619,0.97984,0.98158,0.98286,0.75474,0.60507,2.04212,0.27564,1.21836,0,0.000672043,0.000672043,0.000672043
109,4561.39,0.2174,0.42799,0.14858,0.77503,0,0.98626,0.9884,0.98994,0.86009,0.97929,0.98082,0.98252,0.75305,0.60843,2.04795,0.27884,1.22137,0,0.000668978,0.000668978,0.000668978
110,4602.84,0.22259,0.43551,0.15062,0.77805,0,0.98679,0.98837,0.99037,0.86095,0.9797,0.98116,0.98292,0.7537,0.60933,2.00775,0.2782,1.21456,0,0.000665913,0.000665913,0.000665913
111,4644.38,0.21353,0.42511,0.14699,0.77523,0,0.98635,0.98823,0.99022,0.86231,0.97843,0.98023,0.98217,0.75639,0.60188,2.08887,0.27726,1.21553,0,0.000662848,0.000662848,0.000662848
112,4685.83,0.21454,0.42222,0.14698,0.77427,0,0.9864,0.98844,0.99032,0.8611,0.97869,0.98084,0.98258,0.75381,0.60431,2.05455,0.2787,1.22086,0,0.000659783,0.000659783,0.000659783
113,4727.36,0.21407,0.42963,0.14805,0.77433,0,0.98682,0.98928,0.99048,0.8607,0.9789,0.9816,0.98251,0.75392,0.60578,2.07583,0.27924,1.22284,0,0.000656718,0.000656718,0.000656718
114,4768.76,0.21867,0.42795,0.14962,0.77646,0,0.98681,0.98836,0.99064,0.86084,0.97876,0.98053,0.98212,0.75338,0.60451,2.07625,0.28017,1.22115,0,0.000653653,0.000653653,0.000653653
115,4810.16,0.21023,0.41253,0.14635,0.77383,0,0.9857,0.98828,0.99011,0.86115,0.97777,0.97999,0.98182,0.7549,0.60379,2.04691,0.27927,1.22164,0,0.000650588,0.000650588,0.000650588
116,4851.61,0.2127,0.41497,0.14635,0.77535,0,0.98689,0.98859,0.99025,0.86204,0.97921,0.98092,0.98253,0.75686,0.60073,2.02043,0.27708,1.22233,0,0.000647523,0.000647523,0.000647523
117,4893,0.20746,0.41045,0.1441,0.77344,0,0.98631,0.98842,0.98988,0.86238,0.97931,0.98121,0.98263,0.75768,0.60385,2.07292,0.27989,1.22072,0,0.000644458,0.000644458,0.000644458
118,4934.57,0.21019,0.41047,0.14561,0.77316,0,0.9862,0.98892,0.99008,0.86206,0.97844,0.98068,0.98141,0.75694,0.603,2.08112,0.27924,1.22292,0,0.000641393,0.000641393,0.000641393
119,4975.98,0.20808,0.40818,0.14547,0.77334,0,0.98664,0.98869,0.99002,0.86052,0.97914,0.9812,0.98215,0.75545,0.60177,2.1296,0.27854,1.22247,0,0.000638328,0.000638328,0.000638328
120,5017.41,0.20795,0.41052,0.14548,0.77375,0,0.98736,0.9886,0.99034,0.8637,0.97985,0.98108,0.98234,0.75687,0.59589,2.08117,0.27717,1.21817,0,0.000635263,0.000635263,0.000635263
